piece_id,title,title_long,subtitle,composer,composer_long,parts,parts_long,foldername
Abreu_TicoTico,TicoTico,Tico Tico,,Abreu,"Z. Abreu, arr. I. Patscheck",,,
Bach_BistDuBeiMir,BistDuBeiMir,Bist du bei mir,,Bach,"J.S. Bach, arr. I. Patscheck",,,
Bach_SuiteDDur,SuiteDDur,Orchestersuite Nr. 3 BWV 1068,,Bach,"J.S. Bach, arr. I. Patscheck",Air,II. Air,
Bach_Passacaglia,Passacaglia,Passacaglia c-Moll BWV 582,,Bach,"J.S. Bach, arr. I. Patscheck",,,
Bach_Sinfonia,Sinfonia,Ich steh mit einem Fuß im Grabe (BWV 156),,Bach,"J.S. Bach, arr. I. Patscheck",Sinfonia,I. Sinfonia,
Bach_WachetAuf,WachetAuf,"Wachet auf, ruft uns die Stimme, BWV 140",,Bach,"J.S. Bach, arr. I. Patscheck",Choral,4. Choral: Zion hört die Wächter singen,
Bach_Weihnachtsoratorium,Weihnachtsoratorium,Weihnachts-Oratorium,"1. Teil / Am 1. Weihnachtstag / Jauchzet, frohlocket, auf, preiset die Tage",Bach,Johann Sebastian Bach,Coro,1. Coro,
Beethoven_EhreGottes,EhreGottes,Die Ehre Gottes aus der Natur,,Beethoven,"L. van Beethoven, arr. I. Patscheck",,,
Beethoven_PrestoFinale,PrestoFinale,Presto - Finale,,Beethoven,"L. van Beethoven, arr. I. Patscheck",,,
Berlin_WhiteChristmas,WhiteChristmas,White Christmas,,Berlin,"I. Berlin, arr. I. Patscheck",,,
Boccherini_BeruehmtesMenuett,BeruehmtesMenuett,"Quintett E-Dur, op. 11, 5",,Boccherini,"L. Boccherini, arr. I. Patscheck",Minuetto,Minuetto/Trio,
Brahms_UngarischerTanz,UngarischerTanz,Ungarische Tänze,,Brahms,"J. Brahms, arr. I. Patscheck","[""Fuenf"", ""Sechs""]","[""Nr. 5"", ""Nr. 6""]",
Cherubini_AveMaria,AveMaria,Ave Maria,,Cherubini,"L. Cherubini, arr. I. Patscheck",,,
Chopin_Largo,Largo,Largo,,Chopin,"F. Chopin, arr. I. Patscheck",,,
Desmond_TakeFive,TakeFive,Take Five,,Desmond,"P. Desmond, arr. I. Patscheck",,,
Dietsch_AveMaria,AveMaria,Ave Maria,,Dietsch,"P.-L. Dietsch, arr. I. Patscheck",,,
Dvorak_CelloConcerto,CelloConcerto,"Cello concerto B minor, op. 104",,Dvorak,"A. Dvorak, arr. I. Patscheck",Adagio,II. Adagio ma non troppo,
Dvorak_Humoreske,Humoreske,Humoresken,,Dvorak,"A. Dvorak, arr. I. Patscheck",Sieben,7.,
Gershwin_Summertime,Summertime,Porgy and Bess,,Gershwin,"G. Gershwin, arr. I. Patscheck",Summertime,Summertime,
Haendel_Feuerwerksmusik,Feuerwerksmusik,Feuerwerksmusik,,Haendel,G.F. Haendel,"[""Ouverture"", ""Bourree"", ""Freudenfest"", ""Friede"", ""Menuett""]","[""1. Ouverture"", ""2. Bourree"", ""3. Das Freudenfest"", ""4. Der Friede"", ""5. Menuett""]",
Haendel_MessiasI,MessiasI,Der Messias,,Haendel,G.F. Haendel,"[""Zweifuenf"", ""Dreineun"", ""Viereins""]","[""Nr. 25 Chorus"", ""Nr. 39 Chorus"", ""Nr. 41 Chorus"", ""Hallejuja (Orchester-Version)""]",
Haendel_MessiasII,MessiasII,Der Messias,,Haendel,G.F. Haendel,,,Haendel_MessiasII
Haendel_OmbraMaiFu,OmbraMaiFu,Xerxes,,Haendel,"G.F. Hendel, arr. I. Patscheck",Aria,Aria: Ombra mai fù,
Haydn_Introduktion,Introduktion,Die sieben letzte Worte unseres Erlösers am Kreuze,,Haydn,"J. Haydn, arr. I. Patscheck",Introduktion,I. Introduktion (Maestoso ed adagio),
Haendel_Orgelkonzert,Orgelkonzert,Orgelkonzert Nr. 4,,Haendel,G.F. Haendel,"[""Allegro"", ""Presto""]","[""1. Allegro"", ""4. Presto""]",
Lemser_Klarinettenmuckl,Klarinettenmuckl,Klarinettenmuckl-Swing,,Lemser,"H. Lemser, arr. I. Patscheck",,,
Lopez_Duo,Duo,Duo para Clarinete y Fagot,,Lopez,Leonel López,,,
Mascagni_Intermezzo,Intermezzo,Cavalleria rusticana,,Mascagni,"L. Mascagni, arr. I. Patscheck",Intermezzo,Intermezzo sinfonico,
Mendelssohn_VerleihUnsFrieden,VerleihUnsFrieden,Verleih uns Frieden,,Mendelssohn,"F. Mendelssohn-Bartholdy, arr. I. Patscheck",,,
Meyerbeer_Coronationsmarsch,Coronationsmarsch,Der Prophet,,Meyerbeer,"G. Meyerbeer, arr. I. Patscheck",Kroenungsmarsch,Krönungsmarsch,
Mozart_Klarinettenkonzert,Klarinettenkonzert,Konzert für Klarinette und Orchester,,Mozart,"W.A. Mozart, arr. I. Patscheck","[""Adagio""]","[""II. Adagio""]",
Mozart_Klarinettenquintett,Klarinettenquintett,Konzert für Streichquartett und Klarinette,,Mozart,"W.A. Mozart, arr. I. Patscheck","[""Larghetto""]","[""II. Larghetto""]",
Mozart_KleineNachtmusik,KleineNachtmusik,Serenade Nr. 13 für Streicher in G-Dur KV 525,Eine kleine Nachtmusik,Mozart,"W.A. Mozart, arr. I. Patscheck","[""Romanze""]","[""2. Romanze""]",
Mozart_MesseC,MesseC,Messe in C,,Mozart,W.A. Mozart,"[""Kyrie"", ""Gloria"", ""Credo"", ""Sanctus"", ""Benedictus"", ""Agnusdei""]","[""1. Kyrie"", ""2. Gloria"", ""3. Credo"", ""4. Sanctus"", ""5. Benedictus"", ""6. Agnus Dei""]",
Mozart_MissaSolemnisC,MissaSolemnisC,Missa solemnis in C,,Mozart,W.A. Mozart,,,Mozart_MissaSolemnisC
Mozart_SinfonieEs,SinfonieEs,Sinfonie in Es Dur,,Mozart,"W.A. Mozart, arr. I. Patscheck","[""Menuett""]","[""3. Menuetto. Allegretto""]",
Ory_MuscatRamble,MuscatRamble,Muscat Ramble,,Ory,"E. Kid Ory, arr. I. Patscheck",,,
Patscheck_Abba,Abba,I have a dream,,Patscheck,arr. I. Patscheck,,,
Patscheck_Ellington,Ellington,Mr. Duke E.,,Patscheck,arr. I. Patscheck,"[""VEins"", ""VZwei""]","[""Version I"", ""Version II""]",
Patscheck_GershwinSongs,GershwinSongs,Gershwin Songs,,Patscheck,arr. I. Patscheck,,,
Patscheck_GlennMillerStory,GlennMillerStory,Glenn Miller Story,,Patscheck,arr. I. Patscheck,,,
Patscheck_Monti,Monti,Vittorio Monti,,Patscheck,arr. I. Patscheck,,,
Patscheck_Opening,Opening,Opening,,Patscheck,arr. I. Patscheck,,,
Rossini_CujusAnimam,CujusAnimam,Stabat mater,,Rossini,"G. Rossini, arr. I. Patscheck",Cujus,II Aria: Cuius animam,
Schubert_AveMaria,AveMaria,Ave Maria,,Schubert,"F. Schubert, arr. I. Patscheck",,,
